inc_lat,inc_lon,est_lat,est_lon,distancia,pos_estacion,fecha
28.6148,-17.8526,28.63305555555556,-17.755,9.756325995926334,164,2021-10-02
28.6245,-17.8457,28.63305555555556,-17.755,8.919621125119507,164,2021-10-02
28.6208,-17.8675,28.63305555555556,-17.755,11.08451356874639,164,2021-10-02
28.6246,-17.9011,28.63305555555556,-17.755,14.317049247011518,164,2021-10-02
28.6353,-17.8994,28.63305555555556,-17.755,14.121587550912759,164,2021-10-02
28.6315,-17.8662,28.63305555555556,-17.755,10.87467145697948,164,2021-10-02
28.6101,-17.8691,28.63305555555556,-17.755,11.444374411886866,164,2021-10-02
28.6335,-17.883,28.63305555555556,-17.755,12.516012427490576,164,2021-10-02
28.612,-17.8865,28.63305555555556,-17.755,13.069476146479872,164,2021-10-02
28.6228,-17.8849,28.63305555555556,-17.755,12.753094054785079,164,2021-10-02
28.6264,-17.9172,28.63305555555556,-17.755,15.877688263768539,164,2021-10-02
28.6139,-17.9028,28.63305555555556,-17.755,14.60840096884569,164,2021-10-02
28.626,-17.8789,28.63305555555556,-17.755,12.140654512727071,164,2021-10-02
28.6107,-17.9229,28.63305555555556,-17.755,16.605020820827683,164,2021-10-02
28.6185,-17.9097,28.63305555555556,-17.755,15.21350187713965,164,2021-10-02
28.6128,-17.8755,28.63305555555556,-17.755,11.99564919874522,164,2021-10-02
28.6202,-17.9036,28.63305555555556,-17.755,14.600793536173823,164,2021-10-02
28.6223,-17.857,28.63305555555556,-17.755,10.04512826349491,164,2021-10-02
28.6147,-17.8867,28.63305555555556,-17.755,13.038531875595464,164,2021-10-02
28.6126,-17.8592,28.63305555555556,-17.755,10.43889675447762,164,2021-10-02
28.6166,-17.8982,28.63305555555556,-17.755,14.121563361460938,164,2021-10-02
28.611,-17.8648,28.63305555555556,-17.755,11.012175396160865,164,2021-10-02
28.6088,-17.9116,28.63305555555556,-17.755,15.54838452622764,164,2021-10-02
28.6031,-17.8775,28.63305555555556,-17.755,12.431364395067366,164,2021-10-02
28.6144,-17.8699,28.63305555555556,-17.755,11.424655104725696,164,2021-10-02
