Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Valdepeñas,Ciudad Real,31.5 (18:00),19.1 (07:00),25.3,32 (16:10),15 (14:10),0,0,0,0,0,38.75055555555556,-3.391388888888889
Viso del Marqués,Ciudad Real,31.4 (16:20),18.7 (07:30),25.1,50 (19:50),32 (04:30),0.7,0,0,0,0.7,38.518055555555556,-3.5666666666666664
Puebla de Don Rodrigo,Ciudad Real,32.8 (17:00),15.9 (07:30),24.3,40 (15:30),26 (15:30),0,0,0,0,0,39.08861111111111,-4.616388888888888
Herrera del Duque,Badajoz,32.2 (14:50),20.2 (06:50),26.2,45 (19:10),23 (18:40),5.8,0,0,5.8,0,39.169444444444444,-5.062222222222222
Hinojosa del Duque,Córdoba,32.8 (16:00),15.5 (07:40),24.1,42 (15:30),26 (16:10),0,0,0,0,0,38.49861111111111,-5.1211111111111105
Don Benito,Badajoz,34.2 (16:30),21.1 (07:10),27.7,49 (19:10),30 (19:10),0,0,0,0,0,38.955555555555556,-5.880555555555556
Llerena,Badajoz,30.3 (15:40),18.0 (23:59),24.1,51 (16:50),36 (06:50),0,0,0,0,0,38.23166666666667,-6.016944444444444
Mérida,Badajoz,33.5 (17:00),17.1 (05:30),25.3,44 (17:00),22 (15:00),0,0,0,0,0,38.91583333333333,-6.385555555555556
Badajoz Aeropuerto,Badajoz,31.6 (16:00),17.8 (07:50),24.7,34 (16:50),17 (15:30),0,0,0,0,0,38.88333333333333,-6.813888888888889
Jerez de los Caballeros,Badajoz,30.5 (16:30),18.4 (08:10),24.4,48 (17:40),32 (17:30),0,0,0,0,0,38.29861111111111,-6.765
Ayamonte,Huelva,22.9 (15:50),17.7 (23:59),20.3,32 (17:50),20 (18:00),0,0,0,0,0,37.19472222222222,-7.3950000000000005
Alajar,Huelva,27.1 (15:20),15.2 (23:59),21.2,41 (14:50),22 (15:10),0,0,0,0,0,37.868611111111115,-6.675000000000001
"Huelva, Ronda Este",Huelva,24.6 (14:00),17.5 (23:30),21.1,36 (16:50),24 (14:40),0,0,0,0,0,37.27833333333333,-6.911666666666667
Ceuta,Ceuta,23.6 (18:30),17.9 (04:00),20.8,28 (23:59),13 (17:40),0,0,0,0,0,35.88861111111111,-5.3469444444444445
Baza,Granada,26.2 (19:00),14.1 (06:50),20.2,35 (18:00),21 (17:50),0.2,0,0,0.2,0,37.505833333333335,-2.735
Santa Elena,Jaén,32.7 (16:50),19.5 (07:10),26.1,31 (16:50),12 (17:50),0,0,0,0,0,38.34444444444445,-3.5352777777777775
Jaén,Jaén,32.3 (17:50),19.0 (06:20),25.6,36 (15:30),21 (22:50),0,0,0,0,0,37.777499999999996,-3.8088888888888888
Andújar,Jaén,37.9 (17:50),17.0 (07:00),27.5,43 (20:50),27 (21:00),0,0,0,0,0,38.02305555555555,-4.063888888888889
Villanueva de Córdoba,Córdoba,31.2 (16:40),15.7 (06:30),23.5,49 (14:50),26 (15:00),0,0,0,0,0,38.33305555555556,-4.608888888888888
Córdoba Aeropuerto,Córdoba,36.4 (16:50),17.3 (08:20),26.9,52 (17:00),33 (17:10),0,0,0,0,0,37.848888888888894,-4.846666666666667
Doña Mencía,Córdoba,32.1 (18:20),18.0 (23:59),25,43 (18:20),22 (18:40),0,0,0,0,0,37.55611111111111,-4.353888888888888
Granada Base Aérea,Granada,30.7 (18:20),16.9 (04:50),23.8,61 (14:00),39 (14:00),0,0,0,0,0,37.13722222222222,-3.631388888888889
Granada Aeropuerto,Granada,31.7 (17:50),16.1 (07:20),23.9,48 (19:10),33 (19:10),0,0,0,0,0,37.189722222222215,-3.7894444444444444
Écija,Sevilla,35.1 (15:50),17.2 (08:10),26.1,36 (15:00),21 (18:50),0,0,0,0,0,37.51611111111111,-5.085
Cazalla de la Sierra,Sevilla,28.6 (15:10),15.7 (06:30),22.2,33 (18:00),12 (20:00),0,0,0,0,0,37.92638888888889,-5.769722222222222
Sevilla Aeropuerto,Sevilla,30.6 (15:30),17.8 (07:20),24.2,45 (17:20),30 (17:40),0,0,0,0,0,37.416666666666664,-5.879166666666667
Morón de la Frontera,Sevilla,31.2 (15:50),17.6 (07:50),24.4,39 (20:20),23 (17:00),0,0,0,0,0,37.16444444444444,-5.6113888888888885
"Moguer, El Arenosillo",Huelva,23.2 (12:10),18.2 (23:30),20.7,33 (20:50),23 (22:00),0,0,0,0,0,37.09805555555556,-6.7380555555555555
Grazalema,Cádiz,27.3 (16:00),17.9 (23:40),22.6,37 (13:10),13 (13:30),0,0,0,0,0,36.760555555555555,-5.3741666666666665
Jerez de la Frontera Aeropuerto,Cádiz,29.5 (13:30),15.7 (07:30),22.6,42 (14:30),31 (14:30),0,0,0,0,0,36.75055555555556,-6.055833333333333
San Fernando,Cádiz,26.4 (12:00),18.9 (07:30),22.6,42 (13:20),21 (13:20),0,0,0,0,0,36.46555555555556,-6.205555555555556
Cádiz,Cádiz,23.3 (15:50),19.3 (23:30),21.3,50 (01:00),39 (00:20),0,0,0,0,0,36.499722222222225,-6.257777777777778
Vejer de la Frontera,Cádiz,25.0 (12:40),17.2 (21:30),21.1,35 (14:30),17 (14:20),0,0,0,0,0,36.245555555555555,-5.965
Melilla,Melilla,22.6 (13:10),19.4 (07:00),21,34 (23:59),23 (00:40),0,0,0,0,0,35.27638888888889,-2.956388888888889
Tarifa,Cádiz,22.8 (13:50),17.9 (07:50),20.3,57 (02:00),41 (01:50),0,0,0,0,0,36.013888888888886,-5.598888888888888
Estepona,Málaga,25.7 (18:20),17.8 (06:00),21.8,31 (12:00),21 (12:10),0,0,0,0,0,36.41694444444444,-5.155
Antequera,Málaga,29.2 (14:50),18.9 (04:40),24.1,45 (14:20),21 (14:20),0,0,0,0,0,37.029444444444444,-4.748333333333333
Málaga Aeropuerto,Málaga,25.4 (13:10),18.5 (07:10),21.9,35 (15:40),23 (15:40),0,0,0,0,0,36.66611111111111,-4.482222222222222
"Málaga, Centro Meteorológico",Málaga,28.6 (13:50),18.1 (06:30),23.4,29 (15:30),19 (15:30),0,0,0,0,0,36.717777777777776,-4.4816666666666665
"Málaga, Puerto",Málaga,25.1 (13:10),19.3 (06:50),22.2,26 (17:30),14 (14:40),0,0,0,0,0,36.71666666666667,-4.419722222222222
Adra,Almería,26.4 (15:50),20.1 (02:40),23.3,42 (16:10),17 (02:50),0.2,0,0,0.1,0.1,36.74722222222222,-3.0205555555555557
Roquetas de Mar,Almería,25.4 (14:40),18.8 (08:40),22.1,44 (19:50),28 (19:50),0,0,0,0,0,36.68694444444444,-2.7016666666666667
Abla,Almería,24.8 (18:30),16.5 (07:20),20.6,36 (13:20),16 (17:30),0,0,0,0,0,37.14138888888889,-2.779722222222222
Almería Aeropuerto,Almería,27.7 (17:30),20.1 (06:40),23.9,39 (19:10),29 (19:40),0,0,0,0,0,36.84638888888889,-2.3569444444444447
Águilas,Murcia,25.6 (14:50),18.9 (06:30),22.3,32 (18:00),13 (18:00),0,0,0,0,0,37.41722222222222,-1.5869444444444445
Cartagena,Murcia,23.9 (14:20),15.6 (02:40),19.8,20 (15:40),12 (14:40),0,0,0,0,0,37.60111111111111,-0.9877777777777778
San Javier Aeropuerto,Murcia,23.7 (12:20),16.6 (06:50),20.2,24 (13:10),19 (13:10),0,0,0,0,0,37.788888888888884,-0.8033333333333333
Hellín,Albacete,23.0 (16:00),14.3 (07:10),18.7,18 (16:10),11 (16:10),0,0,0,0,0,38.54194444444444,-1.7030555555555555
Caravaca de La Cruz,Murcia,25.1 (14:20),13.3 (07:10),19.2,25 (01:30),17 (01:30),0,0,0,0,0,38.1025,-1.8772222222222223
Cieza,Murcia,24.6 (12:00),15.6 (06:20),20.1,30 (22:20),18 (22:40),0,0,0,0,0,38.23277777777778,-1.3805555555555555
Murcia,Murcia,25.0 (12:40),16.8 (05:10),20.9,23 (19:40),14 (19:40),0.2,0,0,0.2,0,38.00194444444445,-1.1708333333333334
Lorca,Murcia,23.6 (19:00),16.1 (07:30),19.9,14 (08:40),7 (08:20),0,0,0,0,0,37.65472222222222,-1.6872222222222222
Yecla,Murcia,26.5 (15:20),12.0 (05:20),19.3,27 (15:30),18 (15:30),0,0,0,0,0,38.60166666666667,-1.159722222222222
Alicante-Elche Aeropuerto,Alacant/Alicante,24.0 (12:40),15.9 (05:50),19.9,21 (13:20),13 (06:10),0,0,0,0,0,38.282777777777774,-0.5708333333333333
Alicante/Alacant,Alacant/Alicante,24.6 (13:30),16.7 (05:30),20.7,18 (18:00),11 (05:50),0,0,0,0,0,38.3725,-0.49416666666666664
Cuenca,Cuenca,29.2 (17:00),15.2 (06:50),22.2,33 (00:30),17 (00:20),0,0,0,0,0,40.06722222222223,-2.1319444444444446
Albacete Base Aérea,Albacete,26.9 (15:00),13.7 (07:00),20.3,34 (18:40),24 (20:10),0,0,0,0,0,38.95416666666667,-1.856388888888889
Albacete,Albacete,26.8 (15:10),14.3 (06:50),20.5,30 (02:50),12 (02:30),0,0,0,0,0,39.00555555555555,-1.8622222222222222
Xàtiva,València/Valencia,28.9 (13:30),15.4 (07:00),22.1,25 (19:50),16 (16:30),0,0,0,0,0,39.001666666666665,-0.5236111111111111
Utiel,València/Valencia,28.3 (14:20),12.3 (06:30),20.3,31 (15:40),20 (16:50),0,0,0,0,0,39.57555555555556,-1.2447222222222223
Polinyà de Xúquer,València/Valencia,25.8 (13:00),16.3 (06:00),21,27 (17:20),15 (17:30),0,0,0,0,0,39.18472222222222,-0.3719444444444444
Teruel,Teruel,29.1 (15:20),12.5 (07:00),20.8,36 (17:20),19 (16:30),0,0,0,0,0,40.35055555555556,-1.1241666666666668
Valencia Aeropuerto,València/Valencia,26.2 (13:00),16.2 (06:50),21.2,28 (13:00),20 (14:00),0,0,0,0,0,39.485,-0.4747222222222222
"València, Viveros",València/Valencia,24.5 (12:30),17.6 (07:10),21.1,22 (13:40),9 (16:10),0,0,0,0,0,39.480555555555554,-0.3663888888888889
Castellón - Almassora,Castelló/Castellón,25.2 (15:20),17.4 (06:20),21.3,26 (13:50),13 (15:30),0,0,0,0,0,39.95722222222223,-0.07194444444444445
Reinosa,Cantabria,28.3 (17:10),7.2 (06:20),17.7,34 (20:40),19 (16:10),3.1,0,0,0,3.1,42.99194444444444,-4.160555555555556
Medina de Pomar,Burgos,31.2 (16:30),10.2 (06:40),20.7,33 (20:40),13 (17:00),0.6,0,0,0,0.6,42.919999999999995,-3.4827777777777778
Vitoria Gasteiz Aeropuerto,Araba/Álava,29.3 (17:30),10.2 (07:00),19.7,71 (20:50),34 (21:00),8.4,0,0,0,8.4,42.871944444444445,-2.7327777777777778
Jaca,Huesca,28.3 (15:50),13.8 (07:20),21,30 (23:20),11 (18:40),0.3,0.3,0,0,0,42.57888888888889,-0.5469444444444445
Aragüés del Puerto,Huesca,26.9 (17:00),13.7 (07:20),20.3,24 (13:00),15 (00:10),0.2,0,0.2,0,0,42.70888888888889,-0.6730555555555555
Sos del Rey Católico,Zaragoza,28.5 (17:40),13.7 (07:10),21.1,46 (22:20),24 (22:40),1,0,0,0,1,42.490833333333335,-1.213611111111111
Calamocha,Teruel,28.5 (17:30),13.4 (07:00),20.9,32 (19:00),23 (19:00),1.8,1.8,0,0,0,40.92611111111111,-1.2933333333333332
Daroca,Zaragoza,27.9 (15:30),14.4 (07:20),21.1,26 (18:50),11 (18:50),0,0,0,0,0,41.114444444444445,-1.41
"Zaragoza, Valdespartera",Zaragoza,31.6 (18:30),16.5 (06:40),24.1,39 (20:00),21 (19:50),6.8,0.2,0,0,6.6,41.62083333333334,-0.935
Calanda,Teruel,29.2 (16:10),15.5 (07:20),22.4,40 (02:10),22 (02:00),1.6,1.6,0,0,0,40.946666666666665,-0.23777777777777778
Alcañiz,Teruel,28.7 (16:00),15.3 (06:40),22,26 (18:10),18 (18:20),0,0,0,0,0,41.058055555555555,-0.14166666666666666
La Molina,Girona,17.5 (14:10),6.0 (05:30),11.8,37 (19:30),21 (19:30),0.4,0.2,0.2,0,0,42.3325,1.9394444444444445
La Seu d'Urgell,Lleida,27.2 (15:40),11.3 (07:10),19.3,24 (16:40),9 (16:40),0,0,0,0,0,42.35472222222222,1.4630555555555556
